加工顺序,时间,基因型
"[0,0,0,3,4,3,1,4,0,7,1,7,8,3,4,3,2,5,8,1,7,4,1,9,2,7,5,8,9,2,5,8,6,9,6,6,2,5,9,6]",746.83,"[2,1,0,14,19,15,4,16,3,30,6,31,32,12,17,13,11,22,34,5,29,18,7,36,9,28,23,35,39,10,20,33,26,37,27,25,8,21,38,24]"
"[3,7,3,0,2,3,6,3,0,4,0,7,9,8,2,7,4,0,2,9,2,1,4,6,9,8,6,8,7,4,5,9,1,1,8,1,6,5,5,5]",773.77,"[14,31,12,3,11,15,27,13,1,18,0,30,38,34,8,29,19,2,9,39,10,4,17,25,36,33,24,35,28,16,22,37,7,6,32,5,26,21,20,23]"
"[3,3,3,5,1,3,0,5,6,9,1,0,7,5,0,6,1,9,2,0,5,6,7,4,1,9,2,4,7,9,8,2,7,8,2,4,4,8,6,8]",776.01,"[14,13,15,20,5,12,1,23,25,39,6,3,29,22,2,26,4,38,8,0,21,27,31,18,7,37,10,16,30,36,34,9,28,32,11,19,17,35,24,33]"
"[0,0,5,6,5,6,0,9,0,3,9,3,1,8,5,9,1,6,3,4,8,5,1,7,4,8,2,7,9,6,3,4,7,1,8,4,2,7,2,2]",777.58,"[1,3,21,25,22,27,2,38,0,13,37,15,7,35,20,39,6,26,14,16,33,23,4,29,17,32,11,31,36,24,12,19,28,5,34,18,8,30,10,9]"
"[3,9,3,7,9,7,1,0,2,5,3,1,9,0,2,8,1,4,3,5,9,7,2,8,6,0,4,1,5,8,7,2,0,4,5,6,8,4,6,6]",779.55,"[14,37,12,30,36,29,4,1,9,20,13,7,38,3,8,34,6,16,15,21,39,31,11,35,24,2,19,5,23,33,28,10,0,18,22,26,32,17,27,25]"
"[3,3,0,5,6,5,9,7,0,1,3,6,9,7,0,5,1,3,9,0,9,6,5,1,6,2,8,2,8,7,1,2,7,8,4,4,2,4,8,4]",779.74,"[12,14,3,21,25,20,37,29,1,6,13,26,38,28,0,22,4,15,39,2,36,24,23,5,27,10,34,9,33,30,7,8,31,35,18,17,11,16,32,19]"
[1 7 1 6 1 7 0 1 9 3 0 7 5 6 2 7 0 0 6 4 9 3 9 6 3 9 3 2 4 2 2 8 4 4 8 8 8 5 5 5],732.21,[ 0 16 38 22 18 19  6 35 17 39 37  8 21 30 34 15  5 11 20 31 32 12  7 27 36 23  9 33 28 10 14 29 13 24  1  3  4  2 26 25]
[0 4 7 5 3 0 0 4 7 4 0 0 5 6 3 7 2 3 1 5 8 0 0 6 4 2 7 1 2 3 8 0 5 1 6 8 2 1 6 8],727.47,[ 0 21 33 27 19  1  7 23 32 20  4  5 26 31 16 34 14 17 10 25 36  3  2 30 22 15 35  9 13 18 38  6 24  8 29 39 12 11 28 37]
